Year,Month,Product,Sub-product,Count
2013,2,Mortgage,FHA mortgage,275
2013,2,Mortgage,Home equity loan or line of credit,132
2013,2,Mortgage,Other mortgage,2200
2013,2,Mortgage,Reverse mortgage,21
2013,2,Mortgage,Second mortgage,39
2013,2,Mortgage,VA mortgage,58
2013,2,Student loan,Non-federal student loan,229
2013,3,Bank account or service,(CD) Certificate of deposit,70
2013,3,Bank account or service,Cashing a check without an account,16
2013,3,Bank account or service,Checking account,912
2013,3,Bank account or service,Other bank product/service,93
2013,3,Bank account or service,Savings account,101
2013,3,Consumer Loan,Installment loan,28
2013,3,Consumer Loan,Personal line of credit,34
2013,3,Consumer Loan,Vehicle lease,23
2013,3,Consumer Loan,Vehicle loan,163
2013,3,Credit card or prepaid card,(Blank),1265
2013,3,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1077
2013,3,Mortgage,Conventional adjustable mortgage (ARM),362
2013,3,Mortgage,Conventional fixed mortgage,1163
2013,3,Mortgage,FHA mortgage,331
2013,3,Mortgage,Home equity loan or line of credit,177
2013,3,Mortgage,Other mortgage,2474
2013,3,Mortgage,Reverse mortgage,17
2013,3,Mortgage,Second mortgage,27
2013,3,Mortgage,VA mortgage,57
2013,3,Student loan,Non-federal student loan,234
2013,4,Bank account or service,(CD) Certificate of deposit,57
2013,4,Bank account or service,Cashing a check without an account,8
2013,4,Bank account or service,Checking account,743
2013,4,Bank account or service,Other bank product/service,87
2013,4,Bank account or service,Savings account,72
2013,4,Consumer Loan,Installment loan,28
2013,4,Consumer Loan,Personal line of credit,36
2013,4,Consumer Loan,Vehicle lease,13
2013,4,Consumer Loan,Vehicle loan,176
2013,4,Credit card or prepaid card,(Blank),1199
2013,4,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1137
2013,4,Money transfers,Domestic (US) money transfer,23
2013,4,Money transfers,International money transfer,17
2013,4,Mortgage,Conventional adjustable mortgage (ARM),481
2013,4,Mortgage,Conventional fixed mortgage,1274
2013,4,Mortgage,FHA mortgage,392
2013,4,Mortgage,Home equity loan or line of credit,195
2013,4,Mortgage,Other mortgage,2195
2013,4,Mortgage,Reverse mortgage,32
2013,4,Mortgage,Second mortgage,19
2013,4,Mortgage,VA mortgage,64
2013,4,Student loan,Non-federal student loan,229
2013,5,Bank account or service,(CD) Certificate of deposit,43
2013,5,Bank account or service,Cashing a check without an account,10
2013,5,Bank account or service,Checking account,748
2013,5,Bank account or service,Other bank product/service,109
2013,5,Bank account or service,Savings account,71
2013,5,Consumer Loan,Installment loan,37
2013,5,Consumer Loan,Personal line of credit,29
2013,5,Consumer Loan,Vehicle lease,23
2013,5,Consumer Loan,Vehicle loan,165
2013,5,Credit card or prepaid card,(Blank),1052
2013,5,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1190
2013,5,Money transfers,Domestic (US) money transfer,22
2013,5,Money transfers,International money transfer,12
2013,5,Mortgage,Conventional adjustable mortgage (ARM),416
2013,5,Mortgage,Conventional fixed mortgage,1122
2013,5,Mortgage,FHA mortgage,398
2013,5,Mortgage,Home equity loan or line of credit,168
2013,5,Mortgage,Other mortgage,2073
2013,5,Mortgage,Reverse mortgage,27
2013,5,Mortgage,Second mortgage,20
2013,5,Mortgage,VA mortgage,68
2013,5,Student loan,Non-federal student loan,193
2013,6,Bank account or service,(CD) Certificate of deposit,51
2013,6,Bank account or service,Cashing a check without an account,6
2013,6,Bank account or service,Checking account,791
2013,6,Bank account or service,Other bank product/service,99
2013,6,Bank account or service,Savings account,72
2013,6,Consumer Loan,Installment loan,30
2013,6,Consumer Loan,Personal line of credit,24
2013,6,Consumer Loan,Vehicle lease,24
2013,6,Consumer Loan,Vehicle loan,160
2013,6,Credit card or prepaid card,(Blank),1012
2013,6,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1104
2013,6,Money transfers,Domestic (US) money transfer,30
2013,6,Money transfers,International money transfer,19
2013,6,Mortgage,Conventional adjustable mortgage (ARM),448
2013,6,Mortgage,Conventional fixed mortgage,1210
2013,6,Mortgage,FHA mortgage,438
2013,6,Mortgage,Home equity loan or line of credit,143
2013,6,Mortgage,Other mortgage,1942
2013,6,Mortgage,Reverse mortgage,25
2013,6,Mortgage,Second mortgage,23
2013,6,Mortgage,VA mortgage,78
2013,6,Student loan,Non-federal student loan,179
2013,7,Bank account or service,(CD) Certificate of deposit,53
2013,7,Bank account or service,Cashing a check without an account,8
2013,7,Bank account or service,Checking account,869
2013,7,Bank account or service,Other bank product/service,131
2013,7,Bank account or service,Savings account,90
2013,7,Consumer Loan,Installment loan,37
2013,7,Consumer Loan,Personal line of credit,30
2013,7,Consumer Loan,Vehicle lease,19
2013,7,Consumer Loan,Vehicle loan,163
2013,7,Credit card or prepaid card,(Blank),1015
2013,7,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1234
2013,7,Debt collection,Auto,18
2013,7,Debt collection,Credit card,235
2013,7,Debt collection,Federal student loan,35
2013,7,Debt collection,I do not know,147
2013,7,Debt collection,Medical,90
2013,7,Debt collection,Mortgage,73
2013,7,Debt collection,Non-federal student loan,26
2013,7,Debt collection,"Other (i.e. phone, health club, etc.)",266
2013,7,Money transfers,Domestic (US) money transfer,27
2013,7,Money transfers,International money transfer,22
2013,7,Mortgage,Conventional adjustable mortgage (ARM),390
2013,7,Mortgage,Conventional fixed mortgage,1223
2013,7,Mortgage,FHA mortgage,401
2013,7,Mortgage,Home equity loan or line of credit,159
2013,7,Mortgage,Other mortgage,1991
2013,7,Mortgage,Reverse mortgage,25
2013,7,Mortgage,Second mortgage,16
2013,7,Mortgage,VA mortgage,73
2013,7,Student loan,Non-federal student loan,246
2013,8,Bank account or service,(CD) Certificate of deposit,56
2013,8,Bank account or service,Cashing a check without an account,5
2013,8,Bank account or service,Checking account,802
2013,8,Bank account or service,Other bank product/service,144
2013,8,Bank account or service,Savings account,88
2013,8,Consumer Loan,Installment loan,25
2013,8,Consumer Loan,Personal line of credit,31
2013,8,Consumer Loan,Vehicle lease,19
2013,8,Consumer Loan,Vehicle loan,187
2013,8,Credit card or prepaid card,(Blank),1053
2013,8,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1230
2013,8,Debt collection,Auto,70
2013,8,Debt collection,Credit card,352
2013,8,Debt collection,Federal student loan,28
2013,8,Debt collection,I do not know,292
2013,8,Debt collection,Medical,141
2013,8,Debt collection,Mortgage,82
2013,8,Debt collection,Non-federal student loan,46
2013,8,Debt collection,"Other (i.e. phone, health club, etc.)",460
2013,8,Money transfers,Domestic (US) money transfer,36
2013,8,Money transfers,International money transfer,16
2013,8,Mortgage,Conventional adjustable mortgage (ARM),430
2013,8,Mortgage,Conventional fixed mortgage,1189
2013,8,Mortgage,FHA mortgage,417
2013,8,Mortgage,Home equity loan or line of credit,160
2013,8,Mortgage,Other mortgage,1670
2013,8,Mortgage,Reverse mortgage,29
2013,8,Mortgage,Second mortgage,24
2013,8,Mortgage,VA mortgage,74
2013,8,Student loan,Non-federal student loan,256
2013,9,Bank account or service,(CD) Certificate of deposit,48
2013,9,Bank account or service,Cashing a check without an account,8
2013,9,Bank account or service,Checking account,835
2013,9,Bank account or service,Other bank product/service,135
2013,9,Bank account or service,Savings account,81
2013,9,Consumer Loan,Installment loan,38
2013,9,Consumer Loan,Personal line of credit,24
2013,9,Consumer Loan,Vehicle lease,14
2013,9,Consumer Loan,Vehicle loan,209
2013,9,Credit card or prepaid card,(Blank),1073
2013,9,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1430
2013,9,Debt collection,Auto,61
2013,9,Debt collection,Credit card,471
2013,9,Debt collection,Federal student loan,46
2013,9,Debt collection,I do not know,406
2013,9,Debt collection,Medical,173
2013,9,Debt collection,Mortgage,66
2013,9,Debt collection,Non-federal student loan,59
2013,9,Debt collection,"Other (i.e. phone, health club, etc.)",695
2013,9,Money transfers,Domestic (US) money transfer,27
2013,9,Money transfers,International money transfer,30
2013,9,Mortgage,Conventional adjustable mortgage (ARM),382
2013,9,Mortgage,Conventional fixed mortgage,1119
2013,9,Mortgage,FHA mortgage,337
2013,9,Mortgage,Home equity loan or line of credit,138
2013,9,Mortgage,Other mortgage,1247
2013,9,Mortgage,Reverse mortgage,17
2013,9,Mortgage,Second mortgage,18
2013,9,Mortgage,VA mortgage,70
2013,9,Student loan,Non-federal student loan,249
2013,10,Bank account or service,(CD) Certificate of deposit,42
2013,10,Bank account or service,Cashing a check without an account,7
2013,10,Bank account or service,Checking account,902
2013,10,Bank account or service,Other bank product/service,163
2013,10,Bank account or service,Savings account,77
2013,10,Consumer Loan,Installment loan,33
2013,10,Consumer Loan,Personal line of credit,30
2013,10,Consumer Loan,Vehicle lease,27
2013,10,Consumer Loan,Vehicle loan,186
2013,10,Credit card or prepaid card,(Blank),1040
2013,10,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1270
2013,10,Debt collection,Auto,49
2013,10,Debt collection,Credit card,395
2013,10,Debt collection,Federal student loan,44
2013,10,Debt collection,I do not know,405
2013,10,Debt collection,Medical,178
2013,10,Debt collection,Mortgage,70
2013,10,Debt collection,Non-federal student loan,49
2013,10,Debt collection,"Other (i.e. phone, health club, etc.)",569
2013,10,Debt collection,Payday loan,5
2013,10,Money transfers,Domestic (US) money transfer,39
2013,10,Money transfers,International money transfer,42
2013,10,Mortgage,Conventional adjustable mortgage (ARM),382
2013,10,Mortgage,Conventional fixed mortgage,973
2013,10,Mortgage,FHA mortgage,341
2013,10,Mortgage,Home equity loan or line of credit,173
2013,10,Mortgage,Other mortgage,1185
2013,10,Mortgage,Reverse mortgage,26
2013,10,Mortgage,Second mortgage,13
2013,10,Mortgage,VA mortgage,51
2013,10,Student loan,Non-federal student loan,310
2013,11,Bank account or service,(CD) Certificate of deposit,37
2013,11,Bank account or service,Cashing a check without an account,5
2013,11,Bank account or service,Checking account,779
2013,11,Bank account or service,Other bank product/service,141
2013,11,Bank account or service,Savings account,66
2013,11,Consumer Loan,Installment loan,29
2013,11,Consumer Loan,Personal line of credit,27
2013,11,Consumer Loan,Vehicle lease,17
2013,11,Consumer Loan,Vehicle loan,171
2013,11,Credit card or prepaid card,(Blank),929
2013,11,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1278
2013,11,Debt collection,Auto,73
2013,11,Debt collection,Credit card,558
2013,11,Debt collection,Federal student loan,64
2013,11,Debt collection,I do not know,520
2013,11,Debt collection,Medical,213
2013,11,Debt collection,Mortgage,105
2013,11,Debt collection,Non-federal student loan,70
2013,11,Debt collection,"Other (i.e. phone, health club, etc.)",639
2013,11,Debt collection,Payday loan,159
2013,11,Money transfers,Domestic (US) money transfer,27
2013,11,Money transfers,International money transfer,55
2013,11,Mortgage,Conventional adjustable mortgage (ARM),327
2013,11,Mortgage,Conventional fixed mortgage,959
2013,11,Mortgage,FHA mortgage,309
2013,11,Mortgage,Home equity loan or line of credit,128
2013,11,Mortgage,Other mortgage,1026
2013,11,Mortgage,Reverse mortgage,27
2013,11,Mortgage,Second mortgage,10
2013,11,Mortgage,VA mortgage,39
2013,11,"Payday loan, title loan, personal loan, or advance loan",(Blank),87
2013,11,Student loan,Non-federal student loan,265
2013,12,Bank account or service,(CD) Certificate of deposit,59
2013,12,Bank account or service,Cashing a check without an account,10
2013,12,Bank account or service,Checking account,797
2013,12,Bank account or service,Other bank product/service,126
2013,12,Bank account or service,Savings account,62
2013,12,Consumer Loan,Installment loan,41
2013,12,Consumer Loan,Personal line of credit,47
2013,12,Consumer Loan,Vehicle lease,20
2013,12,Consumer Loan,Vehicle loan,193
2013,12,Credit card or prepaid card,(Blank),986
2013,12,"Credit reporting, credit repair services, or other personal consumer reports",(Blank),1276
2013,12,Debt collection,Auto,79
2013,12,Debt collection,Credit card,536
2013,12,Debt collection,Federal student loan,56
2013,12,Debt collection,I do not know,523
2013,12,Debt collection,Medical,250
